site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes,seed_origin,robots_url,robots_status,robots_has_sitemap,candidate_sitemap_count,accessible_sitemap_count,accessible_sitemaps,accessible_feed_count,accessible_feeds,historical_strategy,expected_coverage,wayback_fallback,seed_has_archive_hint
ahram_online_politics,https://english.ahram.org.eg/Category/1/64/Egypt/Politics-.aspx,english.ahram.org.eg,B,national_media,media_narrative,P1,middle_east,national_major_media,narrative_and_agenda,major Egypt English-language politics desk,https://english.ahram.org.eg,https://english.ahram.org.eg/robots.txt,200,1,9,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
cbc_ca,http://www.cbc.ca/news/world,cbc.ca,A,major_media,media_narrative,P0,north_america,public_broadcaster,narrative_and_agenda,high quality public broadcaster,http://www.cbc.ca,http://www.cbc.ca/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
chinatimes_com,https://www.chinatimes.com/realtimenews/,chinatimes.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,important Taiwan source,https://www.chinatimes.com,https://www.chinatimes.com/robots.txt,200,1,16,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
el_universo_politica,https://www.eluniverso.com/noticias/politica/,eluniverso.com,B,national_media,media_narrative,P1,latin_america,national_major_media,narrative_and_agenda,major Ecuador politics desk,https://www.eluniverso.com,https://www.eluniverso.com/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
elmundo_es,https://www.elmundo.es/internacional.html,elmundo.es,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major Spanish daily,https://www.elmundo.es,https://www.elmundo.es/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
elpais_com,https://elpais.com/internacional/,elpais.com,A,national_media,media_narrative,P0,europe,national_major_media,narrative_and_agenda,major Spanish global desk,https://elpais.com,https://elpais.com/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
israelhayom_co_il,https://www.israelhayom.co.il/news,israelhayom.co.il,B,national_media,media_narrative,P1,middle_east,national_major_media,narrative_and_agenda,high relevance but paywall risk,https://www.israelhayom.co.il,https://www.israelhayom.co.il/robots.txt,403,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
mainichi_english,https://mainichi.jp/english/,mainichi.jp,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Japan outlet with English service,https://mainichi.jp,https://mainichi.jp/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
manilatimes_net,https://www.manilatimes.net/world/feed,manilatimes.net,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,good Philippines supplement source,https://www.manilatimes.net,https://www.manilatimes.net/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
nation_africa,https://nation.africa/kenya/news,nation.africa,B,national_media,media_narrative,P1,africa,national_major_media,narrative_and_agenda,major East Africa newsroom,https://nation.africa,https://nation.africa/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
newsweek_com,http://www.newsweek.com/world,newsweek.com,B,major_media,media_narrative,P1,north_america,global_major_media,narrative_and_agenda,good archive and world desk,http://www.newsweek.com,http://www.newsweek.com/robots.txt,200,1,63,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
npr_org,http://www.npr.org/sections/news/,npr.org,A,major_media,media_narrative,P0,north_america,public_broadcaster,narrative_and_agenda,strong international reporting,http://www.npr.org,http://www.npr.org/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
politico_eu,https://www.politico.eu/,politico.eu,B,regional_media,media_narrative,P1,europe,regional_major_media,narrative_and_agenda,high-value EU politics and policy outlet,https://www.politico.eu,https://www.politico.eu/robots.txt,403,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
rappler_world,https://www.rappler.com/world/,rappler.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Philippines digital newsroom with strong political coverage,https://www.rappler.com,https://www.rappler.com/robots.txt,403,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
republika_co_id,https://news.republika.co.id/,republika.co.id,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,major Indonesia source,https://news.republika.co.id,https://news.republika.co.id/robots.txt,404,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
rfi_english,https://www.rfi.fr/en/,rfi.fr,B,major_media,media_narrative,P1,africa,public_broadcaster,narrative_and_agenda,valuable Francophone Africa signal source with broad regional reach,https://www.rfi.fr,https://www.rfi.fr/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
theedgemalaysia_com,http://www.theedgemalaysia.com/categories/world,theedgemalaysia.com,B,national_media,media_narrative,P1,asia,business_media,narrative_and_agenda,strong economic policy lens,http://www.theedgemalaysia.com,http://www.theedgemalaysia.com/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
times_of_israel,https://www.timesofisrael.com/israel-and-the-region/,timesofisrael.com,B,national_media,media_narrative,P1,middle_east,national_major_media,narrative_and_agenda,major Israel English-language political and regional coverage,https://www.timesofisrael.com,https://www.timesofisrael.com/robots.txt,403,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
todayonline_com,https://www.todayonline.com/world,todayonline.com,B,national_media,media_narrative,P1,asia,national_major_media,narrative_and_agenda,use domain but replace weak section URL,https://www.todayonline.com,https://www.todayonline.com/robots.txt,200,1,12,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
