site_id,domain,layer,priority_tier,region,source_type,preferred_entry,signal_role,origin,notes
china_mfa,mfa.gov.cn,official_direct,P0,asia,foreign_ministry,https://www.mfa.gov.cn/eng/xw/,official_position,official_expansion,official China foreign ministry news
japan_mofa,mofa.go.jp,official_direct,P0,asia,foreign_ministry,https://www.mofa.go.jp/press/release/index.html,official_position,official_expansion,official Japan foreign ministry releases
eeas_europa,eeas.europa.eu,official_direct,P0,europe,foreign_service,https://www.eeas.europa.eu/eeas/press-material_en,official_position,official_expansion,official EU diplomatic service press material
eu_commission_press,ec.europa.eu,official_direct,P0,europe,supranational_executive,https://ec.europa.eu/commission/presscorner/home/en,official_position,official_expansion,official European Commission press corner
fcdo_gov_uk,gov.uk,official_direct,P0,europe,foreign_ministry,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office,official_position,official_expansion,official UK foreign office news and communications
nato_news,nato.int,official_direct,P0,europe,international_security_org,https://www.nato.int/cps/en/natohq/news.htm,official_position,strategic_addition,official alliance security statements and briefings
un_org,un.org,official_direct,P0,global,international_organization,https://news.un.org/en/news,official_position,official_expansion,official UN news and statements
state_gov,state.gov,official_direct,P0,north_america,foreign_ministry,https://www.state.gov/press-releases,official_position,official_expansion,official US State Department releases
whitehouse_gov,whitehouse.gov,official_direct,P0,north_america,executive_government,https://www.whitehouse.gov/news/,official_position,official_expansion,official White House releases and briefings
india_mea,mea.gov.in,official_direct,P0,south_asia,foreign_ministry,https://www.mea.gov.in/press-releases,official_position,official_expansion,official India external affairs releases
african_union,au.int,official_direct,P1,africa,international_organization,https://au.int/en/happening,official_position,official_expansion,official African Union news and press releases
ecowas_news,ecowas.int,official_direct,P1,africa,international_organization,https://www.ecowas.int/,official_position,strategic_addition_v2,official West African regional organization news and communiques
ethiopia_mfa,mfa.gov.et,official_direct,P1,africa,foreign_ministry,https://mfa.gov.et/news,official_position,strategic_addition_v2,official Ethiopia foreign ministry news
kenya_mfa,mfa.go.ke,official_direct,P1,africa,foreign_ministry,https://mfa.go.ke/allnews,official_position,strategic_addition_v2,official Kenya foreign affairs news and diplomacy updates
nigeria_mfa,foreignaffairs.gov.ng,official_direct,P1,africa,foreign_ministry,https://foreignaffairs.gov.ng/news/latest-news/,official_position,strategic_addition_v2,official Nigeria foreign ministry news and press releases
southafrica_dirco,dirco.gov.za,official_direct,P1,africa,foreign_ministry,https://dirco.gov.za/media-statements/,official_position,official_expansion,official South Africa foreign policy statements
asean_news,asean.org,official_direct,P1,asia,international_organization,https://asean.org/news/,official_position,strategic_addition,official ASEAN institutional and summit signals
id_mofcom_gov_cn,id.mofcom.gov.cn,official_direct,P1,asia,economic_ministry,https://fdi.mofcom.gov.cn/EN/come-zonghe-list.html,official_position,official_expansion,official China commerce and investment policy signal
indonesia_kemlu,kemlu.go.id,official_direct,P1,asia,foreign_ministry,https://kemlu.go.id/portal/en,official_position,strategic_addition,official Indonesia foreign ministry portal
singapore_mfa,mfa.gov.sg,official_direct,P1,asia,foreign_ministry,https://www.mfa.gov.sg/newsroom/press-statements-transcripts-and-photos/,official_position,strategic_addition_v2,official Singapore foreign ministry press statements
southkorea_mofa,mofa.go.kr,official_direct,P1,asia,foreign_ministry,https://www.mofa.go.kr/eng/index.do,official_position,strategic_addition,official Korea foreign ministry portal
taiwan_mofa,en.mofa.gov.tw,official_direct,P1,asia,foreign_ministry,https://en.mofa.gov.tw/News.aspx?n=1328&sms=273,official_position,strategic_addition_v2,official Taiwan foreign ministry news and responses
